latitude,longitude
24.4143051,118.2823342
24.4145255,118.2830243
24.4145472,118.2831071
24.414564,118.2832106
24.4145808,118.2833597
24.4146639,118.2844749
24.4146637,118.2845606
24.4146404,118.2846437
24.4146025,118.2847054
24.4145302,118.284752
24.414458,118.2847987
24.4143643,118.2848958
24.4137211,118.2857834
24.413694,118.2858401
24.4136571,118.2859638
24.4135045,118.2865807
24.4309943,118.3213344
24.4308104,118.3206187
24.4308066,118.3205713
24.4109004,118.2998579
24.4115058,118.300503
24.4120178,118.3010486
24.4123861,118.3014403
24.4135423,118.30267
24.4137378,118.3029192
24.4140135,118.3033913
24.4141184,118.3035929
24.4144638,118.3041753
24.4145999,118.3044047
24.4904782,118.4104121
24.4897242,118.4115537
24.4895397,118.4118329
24.4894403,118.4119834
24.4890793,118.41253
24.4298182,118.3415275
24.4301885,118.342244
24.4312148,118.343845
24.431516,118.344248
24.4323498,118.3454139
24.4441419,118.3762655
24.4442163,118.3765318
24.4442293,118.3765782
24.4443809,118.3771672
24.4444097,118.3773785
24.4444301,118.3775667
24.4444322,118.3777077
24.4444237,118.3778644
24.4443998,118.3780387
24.4440572,118.379772
24.4436722,118.3823772
24.4436495,118.3826937
24.443424,118.3879898
24.4434124,118.3882632
24.4323858,118.324539
24.4324126,118.3246499
24.4327762,118.3262724
24.4327858,118.3263427
24.432738,118.3269656
24.4326794,118.3278214
24.4326643,118.328042
24.4328,118.3290802
24.4328065,118.3292981
24.4324579,118.3303898
24.4323531,118.3308867
24.4317388,118.3313762
24.4312049,118.3319994
24.4311472,118.3322114
24.4308489,118.3333067
24.4308642,118.3338189
24.4308712,118.334052
24.4300503,118.3378243
24.4300257,118.3379374
24.4299341,118.3390153
24.4298029,118.3405606
24.4297775,118.3408601
24.4706665,118.2938095
24.4709282,118.2940839
24.4713564,118.2951033
24.4720701,118.2968544
24.4722905,118.2981106
24.4724116,118.2988005
24.4724416,118.2991284
24.4726552,118.3014663
24.4728014,118.3037948
24.473118,118.3046726
24.4738586,118.3059199
24.4746965,118.307879
24.4751587,118.309057
24.4247841,118.4344914
24.4275656,118.4307049
24.4486238,118.4219807
24.4486125,118.4218564
24.4485336,118.4217665
24.448445,118.4217463
24.4483592,118.4217778
24.4482996,118.4218525
24.4482823,118.4219501
24.448327,118.4220646
24.4484267,118.4221242
24.448551,118.4220951
24.4647009,118.4366215
24.4632674,118.4354067
24.4626876,118.4349146
24.4590302,118.4318104
24.4561507,118.4292479
24.4540941,118.4276368
24.4517736,118.4255701
24.4169213,118.2866916
24.4167709,118.2865461
24.4162639,118.2865372
24.4158366,118.2865251
24.4151194,118.2864957
24.4108104,118.2999828
24.4104949,118.3004209
24.4099395,118.3011919
24.4096483,118.3014892
24.4093139,118.3018304
24.4073268,118.3036585
24.4064001,118.3044956
24.4058926,118.304954
24.40471,118.3059641
24.404482,118.3061589
24.404216,118.3063245
24.4035229,118.3067484
24.4027411,118.3072412
24.4021378,118.3077664
24.4019252,118.3079515
24.401667,118.3081762
24.4014754,118.308343
24.401024,118.308736
