latitude,longitude
24.0051156,120.6764234
24.0041877,120.6769835
24.0029925,120.677705
24.0014224,120.6786577
24.0006676,120.6791131
23.9997088,120.6795575
23.9990741,120.6797159
23.9984376,120.6798413
23.9976137,120.6798258
23.9968206,120.6797274
23.9962212,120.6795841
23.9958382,120.6794941
23.9953721,120.6793808
23.9949436,120.6792847
23.9942886,120.6792119
23.9936289,120.6791789
23.9926304,120.6791989
23.9925983,120.6792013
23.9906203,120.6793522
23.9898303,120.6793693
23.9897682,120.6793706
23.9891067,120.6793381
23.9884033,120.6791694
23.9883988,120.6791673
24.0066611,120.7112782
24.006519,120.7119635
24.0064554,120.7126124
24.0064162,120.7131127
23.8145023,120.8503386
23.8144949,120.8505283
23.8145193,120.8511794
23.8145275,120.8513052
23.8145677,120.8514577
23.8148713,120.8522896
23.8154676,120.8538868
23.8156756,120.8543031
23.8157761,120.8544454
23.8158849,120.8545517
23.8357539,120.7051359
23.835706,120.7050876
23.9566326,120.6527781
23.9562197,120.651826
23.9560416,120.6514129
23.9554247,120.6501
23.9550447,120.6492376
23.9545298,120.6484652
23.9535642,120.6471777
23.9527273,120.6459332
23.9520192,120.6447315
23.9511824,120.6433153
23.9503455,120.6414485
23.9478604,120.6352591
23.8321724,120.7101093
23.8334346,120.7083388
23.833713,120.7079543
23.834875,120.7063524
23.8351599,120.7059562
23.835193,120.7059435
23.8355522,120.7054144
23.8357204,120.7051821
23.8357539,120.7051359
23.9476306,120.6354967
23.9498856,120.6411792
23.9507453,120.6430872
23.9516016,120.64465
23.9528564,120.6467021
23.9537785,120.6479349
23.9546417,120.6491715
23.9550681,120.6499871
23.9554,120.6506943
23.9557804,120.6515843
23.883285,120.6912476
23.882358,120.6916204
23.8820465,120.6917545
23.8818086,120.6918484
23.8816001,120.6919316
23.8815759,120.6919419
23.8808178,120.6922642
23.8804143,120.6924372
23.8800808,120.6926115
23.8796383,120.6928692
23.8792562,120.6930971
23.8790631,120.6931829
23.8788422,120.6932418
23.8786337,120.693274
23.87818,120.6933035
23.8776684,120.6933117
23.8768315,120.6933117
23.8764024,120.6933117
23.8762093,120.6933117
23.8757138,120.6933102
23.8754171,120.6933075
23.8749707,120.6933049
23.8746322,120.6932593
23.8742839,120.6931788
23.8734647,120.6929294
23.872975,120.692768
23.872903,120.6927443
23.8726725,120.6926745
23.8723536,120.6926155
23.8721108,120.6925941
23.8718263,120.6925726
23.8714461,120.692586
23.8697426,120.6927174
23.8690865,120.6927684
23.868098,120.6928825
23.8670887,120.6929656
23.9559427,120.6519413
23.4873406,120.8901802
23.4874153,120.8902595
23.4874753,120.8903214
23.487531,120.8903551
23.4875887,120.8903694
23.4876703,120.8903981
23.4877973,120.8903924
23.4881043,120.8903575
23.4881902,120.8903575
23.4883479,120.890438
23.4883833,120.8904648
23.4888554,120.8909154
23.4890485,120.8910656
23.4892845,120.89113
23.490057,120.8912802
23.4903145,120.8913445
23.4913445,120.8918166
23.4914732,120.8919024
23.491559,120.8919883
23.4918594,120.8924174
23.4919882,120.8925891
23.4920955,120.8926535
23.4922028,120.8927178
23.4928465,120.8929968
23.4933615,120.8931899
23.4936404,120.8932328
23.4937692,120.8932114
23.4938979,120.8931684
23.4940481,120.8930826
23.49437,120.892868
23.4944558,120.8928466
23.4945631,120.8928251
23.4950137,120.8928037
23.4956145,120.8925462
23.4963012,120.8923531
23.4965716,120.8923075
23.497084,120.8923189
23.4975598,120.892353
23.4977958,120.8923316
23.4978816,120.8922886
23.4981391,120.892117
23.4984469,120.8918515
23.4985328,120.8917871
23.4987473,120.8917442
23.4989619,120.8917657
23.499155,120.89183
23.4992194,120.8918729
23.4993445,120.8919407
23.4994601,120.8920292
23.4996419,120.8922458
23.4998136,120.8923316
23.4998994,120.8923531
23.5001998,120.8923531
23.5004045,120.8923209
23.5005643,120.8922646
23.50068,120.8921572
23.5008088,120.8920499
23.5011306,120.8916637
23.501431,120.8912345
23.5015225,120.8911621
23.5022235,120.8907223
23.5023308,120.890615
23.5024381,120.8904648
23.5027385,120.8900356
23.5028458,120.8899498
23.5029531,120.8899283
23.5030603,120.8899283
23.5031462,120.8899498
23.5034037,120.8901
23.503468,120.8901429
23.5040348,120.8901751
23.5041421,120.8901537
23.5042494,120.8901322
23.5045838,120.8900249
23.5047913,120.8900249
23.5048557,120.8900463
23.50492,120.8900892
23.5049629,120.8901536
23.5049844,120.890218
23.5049844,120.8904111
23.5049263,120.8907222
23.5048852,120.891087
23.5048771,120.8913338
23.50492,120.8914411
23.5050273,120.8916128
23.5051775,120.8917415
23.5053778,120.8917737
23.5055065,120.8918381
23.5061171,120.8921385
23.5068038,120.8924818
23.506954,120.8925032
23.5071042,120.8924603
23.5075333,120.8922243
23.5077908,120.892117
23.508735,120.8919453
23.5093197,120.8917737
23.5096201,120.8917093
23.5101968,120.8915903
23.5104796,120.89155
23.5108166,120.8914186
23.5110625,120.8912791
23.5112076,120.8912309
23.5115594,120.8911853
23.5117684,120.8911692
23.5119037,120.891191
23.5121251,120.8911159
23.5126613,120.8907565
23.5128826,120.8906438
23.5130597,120.8906009
23.5132368,120.8905955
23.5134877,120.8906224
23.5136893,120.8906975
23.5142403,120.8909442
23.5144518,120.8910301
23.5146387,120.8910408
23.5147666,120.8910247
23.5149289,120.8909335
23.5151306,120.890794
23.5153667,120.8906384
23.5155143,120.8905473
23.5156471,120.8904936
23.5157258,120.8904829
23.5158094,120.8905043
23.5158684,120.8905365
23.5159324,120.8906063
23.5159963,120.8906975
23.5161126,120.8910549
23.5161967,120.8912453
23.5163579,120.8914927
23.5165358,120.8917522
23.5167981,120.8923252
23.5169014,120.8925321
23.5170342,120.8926608
23.5172949,120.8928861
23.5174375,120.8929773
23.5175657,120.8931899
23.5175872,120.8933401
23.5175657,120.8937263
23.5176086,120.8938336
23.5176945,120.893898
23.5178018,120.8939195
23.5180807,120.8939409
23.5181665,120.8939838
23.5182738,120.8940482
23.5183597,120.8941555
23.5184669,120.8943701
23.5185528,120.8948207
23.5186172,120.8950138
23.5186815,120.8950996
23.5187558,120.8951496
23.5188836,120.8951844
23.5197125,120.8952408
23.519919,120.8952488
23.5200641,120.8952139
23.5202584,120.8951254
23.5204411,120.8949924
23.5206003,120.8948921
23.5207159,120.8948679
23.5208733,120.8948518
23.5210424,120.8949088
23.5211149,120.8949182
23.52126,120.8949289
23.5213399,120.8949075
23.5214801,120.8948096
23.5215859,120.8947385
23.5216781,120.8947238
23.5217838,120.8947425
23.5219068,120.8948123
23.5219744,120.8949196
23.5220113,120.8950832
23.5220261,120.8954372
23.522095,120.8957028
23.5224048,120.8962553
23.5224319,120.896435
23.5223975,120.896604
23.5223114,120.8967703
23.521972,120.897347
23.5218343,120.8974864
23.5216523,120.8975562
23.5214678,120.8975749
23.5212514,120.8974891
23.5207448,120.8971377
23.5205308,120.8969929
23.5203513,120.896773
23.5201939,120.8965879
23.5199897,120.8964457
23.5196085,120.896325
23.5184455,120.8960009
23.5182682,120.8959495
23.5178943,120.8959308
23.5177984,120.8959227
23.5176146,120.8958657
23.5175064,120.8957906
23.5173539,120.8957209
23.5171473,120.8956941
23.5169604,120.895796
23.5168424,120.8959301
23.5167686,120.8960428
23.5165958,120.8963814
23.5165121,120.8965128
23.5163793,120.8966308
23.5162834,120.8966791
23.5161777,120.896714
23.5160621,120.8966979
23.5159366,120.8966925
23.5157965,120.8965718
23.5153985,120.8962584
23.5153341,120.8962154
23.5152268,120.8962154
23.5151625,120.8962369
23.5151196,120.8962798
